client_code,product,push
17,Кредитная карта,"Жанель, заметили ваши траты в августе! Кредитная карта поможет получить до 10% кешбэка в любимых категориях и 10% на онлайн-услуги 🤩 — оформляйте!"
16,Кредитная карта,"Ерасыл, заметили ваши траты на онлайн-сервисы! С Кредитной картой вы получите до 10% кешбэка на игры, кино и доставку 🤩 → Оформить."
18,Кредитная карта,"Санжар, заметили ваши траты в августе! Кредитная карта поможет получить до 10% кешбэка в любимых категориях и 10% на онлайн-услуги 🤩 Узнать больше →"
15,Кредитная карта,"Нурия, заметили ваши траты на доставку в августе! С Кредитной картой вы получите до 10% кешбэка на онлайн-услуги и рассрочку 0% 🔥. Оформить?"
14,Кредитная карта,"Диас, заметили ваши траты на развлечения в августе! 🤔 С Кредитной картой вы получите до 10% кешбэка на онлайн-сервисы и любимые категории. Оформить →"
13,Кредитная карта,"Алина, заметили ваши траты на онлайн-сервисы! С Кредитной картой вы получите до 10% кешбэка на игры, кино и доставку. Оформить карту → 🎮"
8,Инвестиции,"Мадина, заметили ваш интерес к новым возможностям! «Инвестиции» — начните с малых сумм от 6 ₸ и без комиссий в первый год.💰"
7,Инвестиции,"Руслан, вы в Алматы, и сейчас самое время начать инвестировать! С Инвестициями от 6 ₸ и 0% комиссии это просто и выгодно.📈"
10,Инвестиции,"Карина, заметили ваш интерес к финансам! 🤔 Начните инвестировать даже с 6 ₸ с нашим продуктом «Инвестиции» и 0% комиссии на сделки."
41,Инвестиции,"Сандугаш, хотите попробовать себя в инвестициях? Начните с малых сумм от 6 ₸ и без комиссий в первый год! 🚀 Узнать больше."
44,Инвестиции,"Айнагуль, хотите попробовать себя в роли инвестора? С «Инвестициями» начать можно всего с 6 ₸, а комиссия на сделки — 0% 😉."
36,Инвестиции,"Назым, вы из Усть-Каменогорска и хотите попробовать себя в инвестициях? С нашим продуктом «Инвестиции» это просто: порог входа от 6 ₸ и 0% комиссии! 🚀"
37,Инвестиции,"Гульнар, в августе алматинцы активно интересуются инвестициями! Начните с малых сумм от 6 ₸ и без комиссий в первый год 🚀."
9,Инвестиции,"Арман, вы в Алматы, ищете новые возможности? Начните инвестировать с нашим предложением: 0% комиссии на сделки и порог входа от 6 ₸! 🚀"
12,Инвестиции,"Жанар, заметили ваш интерес к новым возможностям! «Инвестиции» — отличный старт с малых сумм, комиссия 0% в первый год. Попробуйте! 🚀"
40,Инвестиции,"Асхат, хотите попробовать инвестиции? С нашим предложением порог входа от 6 ₸, а комиссии на сделки 0%! 🚀"
33,Инвестиции,"Мерей, хотите начать инвестировать? С «Инвестициями» порог входа от 6 ₸, а комиссия 0% в первый год! 🚀"
25,Инвестиции,"Адиль, хотите попробовать инвестиции? С нашим 0% комиссии на сделки даже с 6 ₸ можно начать 🚀."
39,Инвестиции,"Ляззат, видите, как растут цены? 📈 Начните инвестировать даже с 6 ₸, чтобы деньги работали на вас! С «Инвестициями» это просто и без комиссий."
46,Инвестиции,"Арсен, хотите попробовать себя в роли инвестора? С «Инвестициями» начать можно всего с 6 ₸, а комиссия на сделки – 0%! 🚀"
11,Инвестиции,"Бауржан, хотите начать инвестировать, но не знаете с чего? С Инвестициями порог входа от 6 ₸ и 0% комиссии на сделки! 🚀 Узнать больше."
43,Инвестиции,"Нуртас, вы в Астане, и сейчас самое время начать инвестировать! С Инвестициями порог входа от 6 ₸ и 0% комиссии на сделки.💰"
48,Инвестиции,"Ержан, инвестируйте, не выходя из Павлодара! С «Инвестициями» старт от 6 ₸ и 0% комиссии на сделки, попробуйте 😉."
3,Инвестиции,"Сабина, хотите начать инвестировать, но боитесь больших вложений? С Инвестициями порог входа от 6 ₸, а комиссия 0%! 🚀 Узнайте больше."
56,Золотые слитки,"Нуркен, в Астане золото всегда в цене! 🏦 Покупка и продажа слитков в отделениях, предзаказ в приложении, хранение в ячейках. Узнать больше."
60,Золотые слитки,"Ермек, вы в Кызылорде! Золотые слитки — это диверсификация и долгосрочное сохранение стоимости. Купить можно в отделениях или заказать в приложении 💰."
58,Золотые слитки,"Султан, в Караганде выгодно покупать и продавать Золотые слитки! 🏦 Предзаказ в приложении, хранение в ячейках банка — сохраните свои средства."
24,Обмен валют,"Гульмира, заметили, как часто вы меняете валюту! 💸 С «Обменом валют» в приложении это выгодно и без комиссии 24/7. Попробуйте!"
19,Обмен валют,"Азамат, заметили, что вы часто меняете валюту 💰. Попробуйте «Обмен валют» в приложении — это выгодно и без комиссии!"
20,Обмен валют,"Анель, заметили, что вы часто меняете валюту. Попробуйте Обмен валют в приложении — это выгодный курс без комиссии и моментальные операции 24/7 🚀"
21,Обмен валют,"Павел, заметили, как часто вы меняете валюту ₸/USD. С Обменом валют в приложении это выгоднее и без комиссий 💰!"
22,Обмен валют,"Аружан, заметили, как часто вы меняете валюту. С «Обменом валют» в приложении это выгодно и без комиссий 💰!"
53,Премиальная карта,"Расул, как зарплатному клиенту из Караганды, вам положены особые условия! С Премиальной картой получите до 4% кешбэка и бесплатные переводы 💸. Оформить карту!"
54,Премиальная карта,"Виктория, как премиальному клиенту из Усть-Каменогорска, вам доступна Премиальная карта! 🤩 Кешбэк до 4%, бесплатные переводы и снятие наличных по миру. Оформить →"
50,Премиальная карта,"Тимурлан, заметили ваши переводы и снятия. С Премиальной картой наличные по миру до 3 млн ₸/мес бесплатно и переводы по РК без комиссии! 💸 Узнать больше."
52,Премиальная карта,"Милана, заметили, как часто вы снимаете наличные. С Премиальной картой это бесплатно по всему миру до 3 000 000 ₸/мес, а еще кешбэк до 4%!🔥 Узнать больше."
